mentee_subjects,mentee_topics,mentee_competencies,mentee_availability,mentee_difficulty_level,mentee_year_level,mentor_role,mentor_subjects,mentor_topics,mentor_competencies,mentor_availability,mentor_years_experience,mentor_teaching_experience_years,mentor_expertise_level,mentor_year_level,target_score
"Computer Programming, Intro to Human Computer Interaction","Modular Programming, Debugging & Execution, Interaction Design & Cognitive Models, High-Fidelity Design & Documentation","Function Definitions, Syntax Errors, Human Information Processing, Design Systems Documentation, High-Fidelity Prototyping","Mon|09:00-11:00, Tue|10:00-12:00, Thu|15:00-17:00",4,1,Instructor,"Computer Programming, Intro to Human Computer Interaction","Control Structures, Data Structures, User Research & Behavioral Mapping","Conditional Logic, Iteration Patterns, Basic Sorting Algorithms, Customer Journey Mapping, User Research & Analysis","Mon|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00, Wed|13:00-15:00",5,2,5,4,0.5538
Introduction to Computing,"Computer Networks Basics, History & Hardware Evolution, Digital Logic & Data Representation","Network Topologies, Processor Architecture, Memory & Storage Types, Boolean Logic Gates","Wed|13:00-15:00, Thu|15:00-17:00, Sat|09:00-11:00",4,1,Senior IT Student,"Introduction to Computing, Computer Programming","History & Hardware Evolution, Data Structures","Computing Generations, 1D/2D Manipulation","Tue|10:00-12:00, Thu|15:00-17:00, Wed|13:00-15:00, Sat|09:00-11:00",4,0,3,3,0.395
Computer Programming,"Control Structures, Modular Programming","Conditional Logic, Parameters & Return Values, Function Definitions","Fri|18:00-20:00, Tue|10:00-12:00",2,1,Senior IT Student,"Computer Programming, Introduction to Computing","Debugging & Execution, Modular Programming, History & Hardware Evolution, Digital Logic & Data Representation","Syntax Errors, Logic Troubleshooting, Parameters & Return Values, Memory & Storage Types, Processor Architecture, Boolean Logic Gates","Sat|09:00-11:00, Fri|18:00-20:00",4,3,4,4,0.388
"IT Fundamentals, Introduction to Computing","Client-Side Scripting, Computer Networks Basics, Digital Logic & Data Representation, History & Hardware Evolution","JavaScript Syntax, DOM Manipulation, OSI Model Layers, Network Topologies, Binary/Octal/Hex Conversions, Boolean Logic Gates","Wed|13:00-15:00, Sat|09:00-11:00, Fri|18:00-20:00",4,1,Instructor,"Computer Programming, IT Fundamentals","Debugging & Execution, Modular Programming, Web Markup, Command Line & Web Infra","Console Debugging Techniques, Variable Scope & Lifetime, Parameters & Return Values, HTML5 Semantic Elements, Forms & Inputs, Domain Name System (DNS)","Wed|13:00-15:00, Thu|15:00-17:00, Sat|09:00-11:00, Tue|10:00-12:00",10,10,5,4,0.2789
"IT Fundamentals, Computer Programming","Web Markup, Data Structures","Forms & Inputs, 1D/2D Manipulation","Thu|15:00-17:00, Wed|13:00-15:00, Fri|18:00-20:00, Mon|09:00-11:00",3,1,Instructor,"Introduction to Computing, IT Fundamentals","Digital Logic & Data Representation, Computer Networks Basics, History & Hardware Evolution, Client-Side Scripting, Web Styling, Command Line & Web Infra","Data Encoding (ASCII/Unicode), Client-Server Architecture, Network Topologies, Computing Generations, Memory & Storage Types, DOM Manipulation","Mon|09:00-11:00, Sat|09:00-11:00, Thu|15:00-17:00",3,3,4,4,0.2538
Computer Programming,Modular Programming,Function Definitions,"Fri|18:00-20:00, Thu|15:00-17:00",4,1,Instructor,"Computer Programming, Intro to Human Computer Interaction","Debugging & Execution, Data Structures, Interaction Design & Cognitive Models, User Research & Behavioral Mapping, Prototyping & UI Tooling","Console Debugging Techniques, 1D/2D Manipulation, Interaction Design Frameworks, User Research & Analysis, Wireframe Sketching","Thu|15:00-17:00, Sat|09:00-11:00",7,2,4,4,0.3143
"Intro to Human Computer Interaction, Introduction to Computing","Interaction Design & Cognitive Models, User Research & Behavioral Mapping, Prototyping & UI Tooling, Operating Systems & Architecture","Human Information Processing, User Flow Diagrams, Design System & Components, OS Fundamentals","Tue|10:00-12:00, Wed|13:00-15:00",4,1,Instructor,"Intro to Human Computer Interaction, Introduction to Computing","User Research & Behavioral Mapping, Prototyping & UI Tooling, Operating Systems & Architecture, Computer Networks Basics","User Flow Diagrams, Customer Journey Mapping, Wireframe Sketching, Design System & Components, OS Fundamentals, File Systems & Permissions","Fri|18:00-20:00, Sat|09:00-11:00, Tue|10:00-12:00, Wed|13:00-15:00",15,12,4,4,0.7986
Computer Programming,"Debugging & Execution, Data Structures","Console Debugging Techniques, Basic Sorting Algorithms, Array Creation","Wed|13:00-15:00, Thu|15:00-17:00, Sat|09:00-11:00",3,1,Instructor,"Computer Programming, Intro to Human Computer Interaction","Modular Programming, Debugging & Execution, User Research & Behavioral Mapping, HCI Principles & Guidelines","Variable Scope & Lifetime, Function Definitions, Syntax Errors, Logic Troubleshooting, User Flow Diagrams, User Research & Analysis","Fri|18:00-20:00, Thu|15:00-17:00, Sat|09:00-11:00, Mon|09:00-11:00",11,7,3,4,0.3966
"Intro to Human Computer Interaction, Introduction to Computing","User Research & Behavioral Mapping, Computer Networks Basics, History & Hardware Evolution","Customer Journey Mapping, Client-Server Architecture, Memory & Storage Types","Wed|13:00-15:00, Fri|18:00-20:00",2,1,Senior IT Student,Intro to Human Computer Interaction,Interaction Design & Cognitive Models,"Human Information Processing, Interaction Design Frameworks","Thu|15:00-17:00, Sat|09:00-11:00, Tue|10:00-12:00",4,1,4,3,0.2502
Introduction to Computing,"Computer Networks Basics, Digital Logic & Data Representation","Network Topologies, OSI Model Layers, Data Encoding (ASCII/Unicode), Boolean Logic Gates","Thu|15:00-17:00, Fri|18:00-20:00",4,1,Instructor,"Intro to Human Computer Interaction, Computer Programming","Interaction Design & Cognitive Models, Modular Programming","Interaction Design Frameworks, Human Information Processing, Variable Scope & Lifetime, Parameters & Return Values","Thu|15:00-17:00, Mon|09:00-11:00",13,12,5,4,0.1225
"Introduction to Computing, Computer Programming","Computer Networks Basics, Debugging & Execution","Client-Server Architecture, Syntax Errors","Wed|13:00-15:00, Sat|09:00-11:00, Thu|15:00-17:00",5,1,Senior IT Student,"IT Fundamentals, Intro to Human Computer Interaction","Command Line & Web Infra, Client-Side Scripting, Web Markup, Interaction Design & Cognitive Models, User Research & Behavioral Mapping","CLI Navigation, JavaScript Syntax, Event Listeners, HTML5 Semantic Elements, Media & Tables, Interaction Design Frameworks","Thu|15:00-17:00, Tue|10:00-12:00, Fri|18:00-20:00",3,2,3,4,0.1096
Computer Programming,Control Structures,"Iteration Patterns, Loop Control","Fri|18:00-20:00, Tue|10:00-12:00, Sat|09:00-11:00",4,1,Instructor,"Computer Programming, Intro to Human Computer Interaction","Data Structures, Control Structures, User Research & Behavioral Mapping, Prototyping & UI Tooling, Interaction Design & Cognitive Models","Linear/Binary Searching, Basic Sorting Algorithms, Iteration Patterns, Conditional Logic, Customer Journey Mapping, Wireframe Sketching","Thu|15:00-17:00, Fri|18:00-20:00",12,6,4,4,0.4066
"Introduction to Computing, IT Fundamentals","Operating Systems & Architecture, History & Hardware Evolution, Client-Side Scripting, Web Markup, Command Line & Web Infra","File Systems & Permissions, Processor Architecture, Computing Generations, Event Listeners, JavaScript Syntax, Media & Tables","Mon|09:00-11:00, Wed|13:00-15:00, Thu|15:00-17:00, Sat|09:00-11:00",4,1,Senior IT Student,"Introduction to Computing, IT Fundamentals","Digital Logic & Data Representation, History & Hardware Evolution, Client-Side Scripting","Data Encoding (ASCII/Unicode), Memory & Storage Types, Processor Architecture, DOM Manipulation, Event Listeners","Thu|15:00-17:00, Mon|09:00-11:00",4,4,3,3,0.5932
"Introduction to Computing, Computer Programming","History & Hardware Evolution, Digital Logic & Data Representation, Operating Systems & Architecture, Data Structures, Modular Programming, Control Structures","Memory & Storage Types, Processor Architecture, Binary/Octal/Hex Conversions, Data Encoding (ASCII/Unicode), OS Fundamentals, Process Management","Thu|15:00-17:00, Wed|13:00-15:00, Sat|09:00-11:00, Mon|09:00-11:00",3,1,Senior IT Student,"Introduction to Computing, Intro to Human Computer Interaction","Digital Logic & Data Representation, High-Fidelity Design & Documentation, Prototyping & UI Tooling, User Research & Behavioral Mapping","Boolean Logic Gates, Data Encoding (ASCII/Unicode), Design Systems Documentation, Figma UI Design, Customer Journey Mapping, User Research & Analysis","Wed|13:00-15:00, Mon|09:00-11:00",4,3,3,4,0.3319
"IT Fundamentals, Introduction to Computing","Client-Side Scripting, Web Markup, History & Hardware Evolution","DOM Manipulation, Media & Tables, Processor Architecture","Tue|10:00-12:00, Fri|18:00-20:00",3,1,Instructor,"Computer Programming, Introduction to Computing","Data Structures, Modular Programming, Operating Systems & Architecture, History & Hardware Evolution, Computer Networks Basics","Linear/Binary Searching, Function Definitions, OS Fundamentals, Processor Architecture, Client-Server Architecture","Mon|09:00-11:00, Tue|10:00-12:00, Thu|15:00-17:00",3,2,5,4,0.307
Intro to Human Computer Interaction,"User Research & Behavioral Mapping, HCI Principles & Guidelines","User Flow Diagrams, User Research & Analysis, System Prototype Proposal","Fri|18:00-20:00, Wed|13:00-15:00, Thu|15:00-17:00, Sat|09:00-11:00",2,1,Instructor,"Intro to Human Computer Interaction, IT Fundamentals","Prototyping & UI Tooling, Web Styling, Web Markup","Wireframe Sketching, Design System & Components, Flexbox & Grid, Forms & Inputs, Media & Tables","Mon|09:00-11:00, Sat|09:00-11:00, Tue|10:00-12:00",11,11,5,4,0.2597
Intro to Human Computer Interaction,"Prototyping & UI Tooling, High-Fidelity Design & Documentation","Design System & Components, Wireframe Sketching, Design Systems Documentation, High-Fidelity Prototyping","Wed|13:00-15:00, Sat|09:00-11:00, Tue|10:00-12:00, Fri|18:00-20:00",4,1,Instructor,"Intro to Human Computer Interaction, Introduction to Computing","User Research & Behavioral Mapping, Interaction Design & Cognitive Models, High-Fidelity Design & Documentation, Operating Systems & Architecture, Digital Logic & Data Representation","User Flow Diagrams, Interaction Design Frameworks, Human Information Processing, Design Systems Documentation, High-Fidelity Prototyping, File Systems & Permissions","Mon|09:00-11:00, Wed|13:00-15:00",5,5,4,4,0.4055
"Introduction to Computing, Computer Programming","Digital Logic & Data Representation, Computer Networks Basics, History & Hardware Evolution, Data Structures","Binary/Octal/Hex Conversions, Data Encoding (ASCII/Unicode), Client-Server Architecture, OSI Model Layers, Processor Architecture, Computing Generations","Sat|09:00-11:00, Thu|15:00-17:00, Mon|09:00-11:00, Fri|18:00-20:00",5,1,Senior IT Student,"Introduction to Computing, Intro to Human Computer Interaction","Computer Networks Basics, Digital Logic & Data Representation, High-Fidelity Design & Documentation, HCI Principles & Guidelines, Prototyping & UI Tooling","OSI Model Layers, Data Encoding (ASCII/Unicode), Boolean Logic Gates, High-Fidelity Prototyping, System Prototype Proposal, Figma UI Design","Sat|09:00-11:00, Thu|15:00-17:00, Fri|18:00-20:00",3,1,4,4,0.4008
IT Fundamentals,"Web Markup, Web Styling","Media & Tables, Forms & Inputs, Box Model","Fri|18:00-20:00, Mon|09:00-11:00, Sat|09:00-11:00",3,1,Senior IT Student,"IT Fundamentals, Computer Programming","Web Markup, Command Line & Web Infra, Data Structures, Modular Programming","Media & Tables, Forms & Inputs, CLI Navigation, Array Creation, 1D/2D Manipulation, Parameters & Return Values","Thu|15:00-17:00, Fri|18:00-20:00, Sat|09:00-11:00, Wed|13:00-15:00",1,1,4,3,0.4252
"Introduction to Computing, Computer Programming","Operating Systems & Architecture, Modular Programming, Control Structures","File Systems & Permissions, Function Definitions, Variable Scope & Lifetime, Iteration Patterns, Conditional Logic","Mon|09:00-11:00, Thu|15:00-17:00, Wed|13:00-15:00, Fri|18:00-20:00",3,1,Instructor,"Introduction to Computing, IT Fundamentals","Digital Logic & Data Representation, Computer Networks Basics, Operating Systems & Architecture, Web Styling, Client-Side Scripting, Web Markup","Binary/Octal/Hex Conversions, Network Topologies, OS Fundamentals, File Systems & Permissions, Responsive Layouts, Event Listeners","Sat|09:00-11:00, Fri|18:00-20:00, Wed|13:00-15:00, Thu|15:00-17:00",13,11,5,4,0.3106
"Introduction to Computing, Computer Programming","Operating Systems & Architecture, Digital Logic & Data Representation, Debugging & Execution, Control Structures","Process Management, Boolean Logic Gates, Logic Troubleshooting, Loop Control, Iteration Patterns","Fri|18:00-20:00, Sat|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00",4,1,Instructor,"Introduction to Computing, Intro to Human Computer Interaction","Digital Logic & Data Representation, Computer Networks Basics, Operating Systems & Architecture, Interaction Design & Cognitive Models, HCI Principles & Guidelines, Prototyping & UI Tooling","Binary/Octal/Hex Conversions, Network Topologies, OSI Model Layers, File Systems & Permissions, Human Information Processing, Interaction Design Frameworks","Wed|13:00-15:00, Sat|09:00-11:00, Thu|15:00-17:00",15,7,4,4,0.3363
IT Fundamentals,Client-Side Scripting,Event Listeners,"Thu|15:00-17:00, Wed|13:00-15:00, Fri|18:00-20:00, Sat|09:00-11:00",5,1,Instructor,IT Fundamentals,Web Styling,"Flexbox & Grid, Responsive Layouts","Sat|09:00-11:00, Thu|15:00-17:00, Wed|13:00-15:00",7,6,4,4,0.5076
"Computer Programming, IT Fundamentals","Control Structures, Modular Programming, Data Structures, Web Styling","Loop Control, Conditional Logic, Function Definitions, Variable Scope & Lifetime, Basic Sorting Algorithms, Array Creation","Mon|09:00-11:00, Wed|13:00-15:00",2,1,Instructor,"Computer Programming, IT Fundamentals","Data Structures, Modular Programming, Debugging & Execution, Web Markup, Web Styling","1D/2D Manipulation, Variable Scope & Lifetime, Console Debugging Techniques, Media & Tables, HTML5 Semantic Elements, Flexbox & Grid","Thu|15:00-17:00, Tue|10:00-12:00, Fri|18:00-20:00, Sat|09:00-11:00",6,4,4,4,0.5753
"Intro to Human Computer Interaction, Computer Programming","High-Fidelity Design & Documentation, Prototyping & UI Tooling, Debugging & Execution","High-Fidelity Prototyping, Figma UI Design, Console Debugging Techniques, Syntax Errors","Fri|18:00-20:00, Mon|09:00-11:00, Wed|13:00-15:00, Sat|09:00-11:00",3,1,Instructor,"Intro to Human Computer Interaction, Introduction to Computing","Prototyping & UI Tooling, Computer Networks Basics","Wireframe Sketching, Figma UI Design, Network Topologies, OSI Model Layers","Wed|13:00-15:00, Mon|09:00-11:00",8,3,4,4,0.3588
"Computer Programming, Introduction to Computing","Modular Programming, Computer Networks Basics, Digital Logic & Data Representation, History & Hardware Evolution","Variable Scope & Lifetime, Function Definitions, Network Topologies, Binary/Octal/Hex Conversions, Data Encoding (ASCII/Unicode), Computing Generations","Tue|10:00-12:00, Wed|13:00-15:00, Mon|09:00-11:00",2,1,Instructor,"Introduction to Computing, Intro to Human Computer Interaction","History & Hardware Evolution, Operating Systems & Architecture, HCI Principles & Guidelines, User Research & Behavioral Mapping","Memory & Storage Types, Process Management, System Prototype Proposal, User Research & Analysis, User Flow Diagrams","Fri|18:00-20:00, Sat|09:00-11:00, Mon|09:00-11:00, Tue|10:00-12:00",4,4,5,4,0.2965
Intro to Human Computer Interaction,"User Research & Behavioral Mapping, HCI Principles & Guidelines","User Research & Analysis, Customer Journey Mapping, System Prototype Proposal","Sat|09:00-11:00, Mon|09:00-11:00, Wed|13:00-15:00, Fri|18:00-20:00",2,1,Senior IT Student,Intro to Human Computer Interaction,"Prototyping & UI Tooling, Interaction Design & Cognitive Models, HCI Principles & Guidelines","Design System & Components, Interaction Design Frameworks, Human Information Processing, HCI Principles & Paradigms","Mon|09:00-11:00, Wed|13:00-15:00",4,2,4,4,0.519
IT Fundamentals,"Web Markup, Client-Side Scripting","Forms & Inputs, HTML5 Semantic Elements, DOM Manipulation, Event Listeners","Thu|15:00-17:00, Sat|09:00-11:00, Wed|13:00-15:00, Mon|09:00-11:00",4,1,Instructor,"IT Fundamentals, Introduction to Computing","Web Markup, Web Styling, Operating Systems & Architecture","Media & Tables, Flexbox & Grid, CSS Selectors, Process Management, File Systems & Permissions","Sat|09:00-11:00, Thu|15:00-17:00, Tue|10:00-12:00, Wed|13:00-15:00",8,5,4,4,0.3942
"Intro to Human Computer Interaction, Computer Programming","HCI Principles & Guidelines, High-Fidelity Design & Documentation, User Research & Behavioral Mapping, Data Structures","Guideline Categories of HCI, HCI Principles & Paradigms, High-Fidelity Prototyping, User Research & Analysis, User Flow Diagrams, Linear/Binary Searching","Fri|18:00-20:00, Mon|09:00-11:00, Tue|10:00-12:00",5,1,Instructor,"Intro to Human Computer Interaction, Introduction to Computing","High-Fidelity Design & Documentation, Operating Systems & Architecture, History & Hardware Evolution, Computer Networks Basics","Design Systems Documentation, High-Fidelity Prototyping, File Systems & Permissions, Processor Architecture, Client-Server Architecture, Network Topologies","Wed|13:00-15:00, Thu|15:00-17:00, Tue|10:00-12:00",14,9,4,4,0.2794
Introduction to Computing,"Digital Logic & Data Representation, Operating Systems & Architecture","Binary/Octal/Hex Conversions, Boolean Logic Gates, File Systems & Permissions, OS Fundamentals","Fri|18:00-20:00, Wed|13:00-15:00, Sat|09:00-11:00, Mon|09:00-11:00",5,1,Instructor,"Introduction to Computing, IT Fundamentals","Digital Logic & Data Representation, History & Hardware Evolution, Operating Systems & Architecture, Web Markup, Command Line & Web Infra, Web Styling","Binary/Octal/Hex Conversions, Computing Generations, Processor Architecture, Process Management, OS Fundamentals, Media & Tables","Fri|18:00-20:00, Thu|15:00-17:00, Wed|13:00-15:00",5,4,4,4,0.4515
"Intro to Human Computer Interaction, IT Fundamentals","User Research & Behavioral Mapping, Interaction Design & Cognitive Models, High-Fidelity Design & Documentation, Web Styling","User Research & Analysis, Interaction Design Frameworks, Human Information Processing, Design Systems Documentation, Box Model, Responsive Layouts","Wed|13:00-15:00, Mon|09:00-11:00, Sat|09:00-11:00, Fri|18:00-20:00",5,1,Senior IT Student,"Intro to Human Computer Interaction, IT Fundamentals","Interaction Design & Cognitive Models, High-Fidelity Design & Documentation, HCI Principles & Guidelines, Command Line & Web Infra, Client-Side Scripting, Web Markup","Interaction Design Frameworks, Human Information Processing, High-Fidelity Prototyping, System Prototype Proposal, HCI Principles & Paradigms, HTTP Request Methods","Mon|09:00-11:00, Sat|09:00-11:00, Wed|13:00-15:00",4,0,5,4,0.635
Intro to Human Computer Interaction,"Prototyping & UI Tooling, High-Fidelity Design & Documentation","Figma UI Design, Design Systems Documentation","Wed|13:00-15:00, Sat|09:00-11:00, Thu|15:00-17:00, Mon|09:00-11:00",3,1,Senior IT Student,Intro to Human Computer Interaction,User Research & Behavioral Mapping,"User Research & Analysis, User Flow Diagrams","Mon|09:00-11:00, Wed|13:00-15:00",2,0,4,4,0.5
"Computer Programming, Introduction to Computing","Debugging & Execution, Data Structures, Computer Networks Basics, History & Hardware Evolution, Operating Systems & Architecture","Logic Troubleshooting, Syntax Errors, Basic Sorting Algorithms, Network Topologies, Client-Server Architecture, Processor Architecture","Sat|09:00-11:00, Thu|15:00-17:00, Wed|13:00-15:00, Fri|18:00-20:00",2,1,Instructor,"Computer Programming, Introduction to Computing","Control Structures, Data Structures, Operating Systems & Architecture, History & Hardware Evolution, Digital Logic & Data Representation","Iteration Patterns, Linear/Binary Searching, File Systems & Permissions, Process Management, Computing Generations, Boolean Logic Gates","Fri|18:00-20:00, Sat|09:00-11:00, Thu|15:00-17:00, Wed|13:00-15:00",6,6,4,4,0.6325
Introduction to Computing,Digital Logic & Data Representation,"Boolean Logic Gates, Data Encoding (ASCII/Unicode)","Fri|18:00-20:00, Sat|09:00-11:00",3,1,Instructor,"Intro to Human Computer Interaction, IT Fundamentals","User Research & Behavioral Mapping, High-Fidelity Design & Documentation, Prototyping & UI Tooling, Client-Side Scripting, Command Line & Web Infra","User Flow Diagrams, Customer Journey Mapping, High-Fidelity Prototyping, Design Systems Documentation, Design System & Components, Wireframe Sketching","Sat|09:00-11:00, Fri|18:00-20:00, Tue|10:00-12:00",12,9,4,4,0.1964
"Computer Programming, IT Fundamentals","Debugging & Execution, Control Structures, Modular Programming, Command Line & Web Infra, Web Markup","Console Debugging Techniques, Loop Control, Parameters & Return Values, HTTP Request Methods, CLI Navigation, Media & Tables","Thu|15:00-17:00, Mon|09:00-11:00, Tue|10:00-12:00, Wed|13:00-15:00",3,1,Instructor,"Computer Programming, Intro to Human Computer Interaction","Debugging & Execution, User Research & Behavioral Mapping, Prototyping & UI Tooling, HCI Principles & Guidelines","Console Debugging Techniques, Logic Troubleshooting, Customer Journey Mapping, Wireframe Sketching, Figma UI Design, System Prototype Proposal","Sat|09:00-11:00, Thu|15:00-17:00",10,7,4,4,0.281
"IT Fundamentals, Introduction to Computing","Command Line & Web Infra, Web Styling, Client-Side Scripting, Operating Systems & Architecture, Computer Networks Basics","Domain Name System (DNS), Flexbox & Grid, DOM Manipulation, OS Fundamentals, File Systems & Permissions, Client-Server Architecture","Wed|13:00-15:00, Tue|10:00-12:00, Mon|09:00-11:00, Sat|09:00-11:00",5,1,Senior IT Student,"IT Fundamentals, Computer Programming","Web Markup, Data Structures","Forms & Inputs, Media & Tables, 1D/2D Manipulation","Sat|09:00-11:00, Thu|15:00-17:00, Fri|18:00-20:00",3,2,3,4,0.2225
